商品ID,标题,价格,价格说明,店铺名称,店铺标签,销量,地区,商品链接,图片链接,品牌,型号,屏幕尺寸,刷新率,电池容量,像素,机身内存,充电功率,标签
971520952713,【至高12期分期免息】小米17 Pro手机新品上市小米徕卡联合研发小米官方旗舰店官网小米澎湃OS小米17pro,¥4749.05,,小米官方旗舰店,回头客20万,5万+人付款,广东 深圳,https://detail.tmall.com/item.htm?id=971520952713&ns=1&abbucket=9&xxc=taobaoSearch&fpChannel=101&fpChannelSig=13752cd05763d456e959fb26c08e5f47c02caf93&mi_id=0000NwXPy_JhFQOPlTB4hXbrGs4PPosm5t2AVZXU-xBDYmU&skuId=6104030007158,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1714128138/O1CN01lCPzpX29zGJYi82Zz_!!4611686018427381002-2-item_pic.png_60x60.jpg,MIUI/小米,,6.3英寸,120Hz,6300mAh,5000万,12GB+512GB,,政府补贴5%;  12期; 退货宝
924164846518,华为畅享 80 超能续航玄甲架构双五星超耐摔鸿蒙手机百亿补贴官方,¥799,补贴价,百亿补贴官方精选,回头客100万,3万+人付款,浙江 杭州,https://detail.tmall.com/item.htm?id=924164846518&ns=1&abbucket=9&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=2c33fabdab42d78fe056314de108aae01a11bef1&mi_id=0000RzFZMv7iDzGV-kef_QDw4XJYw2oaEWHcSmvK_oFweGA&skuId=5970935187596,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2217587502021/O1CN01i3CPAR1QnfVr74THj_!!4611686018427382725-2-item_pic.png_60x60.jpg,Huawei/华为,,6.67英寸,90Hz,6620mAh,5000万,,40W,已补250元
1035254609196,Apple/苹果 iPhone 16 Pro原装正品手机苹果16promax全网通5G双卡,¥4458,券后价,领航数码3C,,600+人付款,广东 深圳,https://item.taobao.com/item.htm?id=1035254609196&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000Z9Kxf2SqHPQ53aqBQ7TSTM-riFPjzwvxJTPjl3IkP5U&skuId=6215472515168,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/698845651/O1CN01IWOyy01rcDISPOca7_!!698845651.jpg_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,3582mAh,,128GB,20W,退货宝; 48小时内发; 公益宝贝
1033968861706,iPhone 13国行正品Apple/苹果14全网通5G手机iphone15双卡pro max,¥1970,券后价,万通数码通讯,,100+人付款,广东 深圳,https://item.taobao.com/item.htm?id=1033968861706&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000ss1wE5cM8qiYzv1tnsGONwyWnC2P5ntCJjzPWvpjwh8&skuId=6213396107556,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1103597569/O1CN01pUf2ka25mex09zxPs_!!1103597569.jpg_60x60.jpg,,,6.1英寸,60Hz,3095mAh,双1200万,256GB,20W,退货宝; 48小时内发
1025549639072,【国家补贴】Apple/苹果 iPhone 17e 手机,¥4466.08,券后价,Apple授权专营店-国家补贴,,1000+人付款,北京,https://detail.tmall.com/item.htm?id=1025549639072&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000WdwYsoZvk7jPFciy2V6gGiaEJjSyGGSUvk0UQ1sJf8k&skuId=6203143999526,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2219670795289/O1CN01fDRDr21owPuyEjFMe_!!4611686018427384857-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.1英寸,60Hz,,4800万,512GB,20W, 12期; 淘金币已抵2.92元
1043647552299,OPPO Find N6 折叠屏 2亿像素主摄 80W快充 第五代晓龙 12Hz,¥8389,,泰山数码,,0人付款,广东 深圳,https://item.taobao.com/item.htm?id=1043647552299&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000g9DuwC4w9txhz1xUzIuE1onGtKF5OsWARp9vUsuU2E8&skuId=6063835105307,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/752907271/O1CN01Ngch6Z23aAvaZqqvh_!!752907271.jpg_60x60.jpg,OPPO,,8.12英寸,120Hz,6000mAh,,16GB+1TB,,退货宝; 48小时内发
1036896912621,vivo Y500s新品手机官方旗舰店官网正品7200mAh超薄大电池大内存耐用抗摔,¥1709.05,券后价,vivo手机官方旗舰店,回头客1万,71人付款,广西 南宁,https://detail.tmall.com/item.htm?id=1036896912621&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000ism41z6NWle87Np924GTvxPN0IsS_w8MpxGURA8lK0U&skuId=6216309074738,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2207440821122/O1CN011N2YNK1K9vWPAeLAa_!!4611686018427386754-2-item_pic.png_60x60.jpg,vivo,,6.75英寸,120Hz,7200mAh,,8GB+256GB,,政府补贴5%; 热销爆款; 退货宝
988101274021,MIUI/小米 Xiaomi 15 Pro骁龙8至尊旗舰5G徕卡影像手机小米15pro,¥2378,,品盛数码通讯,,47人付款,广东 潮州,https://item.taobao.com/item.htm?id=988101274021&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=00009Ym9WoE1Wi0yxM9KQT0vVnBqz1rcZt-OHdKEI3N8Hkw&skuId=5953531076190,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2162192073/O1CN01a2Z4hd1RBU8sDEhEn_!!2162192073.jpg_60x60.jpg,MIUI/小米,,6.73英寸,120Hz,6100mAh,,12GB+256GB,,退货宝
1003696890475,【国家补贴至高立省500元】vivo S50 超声波指纹 拍照新款学生手机官方旗舰店正品官网新款s30,¥2549.15,国补后,天猫优品官方旗舰店,回头客40万,2人付款,广东 东莞,https://detail.tmall.com/item.htm?id=1003696890475&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000ExFyOuXevEyGDHJKSnVJT_3_fZsURANH-x38Ssp25Fw&skuId=5996926021552,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2218536532979/O1CN01fNvxhy1XsQztCu2pm_!!4611686018427386867-0-item_pic.jpg_60x60.jpg,vivo,,6.59英寸,120Hz,6500mAh,,12GB+256GB,,国家补贴15%; 退货宝; 对公支付
1027621806189,【新品上市 24期免息】vivo X300 Ultra 新品蔡司大师镜头群拍照学生智能大电池手机官方旗舰店官网正品新款,¥6999,,vivo手机官方旗舰店,回头客1万,,广西 南宁,https://detail.tmall.com/item.htm?id=1027621806189&ns=1&abbucket=9&xxc=taobaoSearch&fpChannel=101&fpChannelSig=9f9e4da857f8ff93fd9eaa44319cf7e82bd71177&mi_id=0000K076FSOlLRJDtNnedzaB_XFdOYMKfRmjWPejzZm-mA4&skuId=6218527795452,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2207440821122/O1CN012Sh2jl1K9vWMdszWs_!!4611686018427386754-2-item_pic.png_60x60.jpg,vivo,,6.82英寸,144Hz,6600mAh,,16GB+512GB,,超级爆款;  24期; 退货宝
1031343044568,Apple/苹果 iPhone 15 Pro Max国行正品Plus苹果15Pro 双卡5G手机,¥3849,券后价,智享数码科技 15年老店,,200+人付款,广东 深圳,https://item.taobao.com/item.htm?id=1031343044568&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000Bq4mt_o1taET3ahOzuL0HQtNxzGShxjCTtVhcIkYwIo&skuId=6222998402612,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/274936762/O1CN01v9pTqO1zp3K98iGCw_!!274936762.jpg_60x60.jpg,Apple/苹果,,6.1英寸,120Hz,3274mAh,,512GB,20W,官方立减40元;  3期; 退货宝
835715171087,【下拉详情更优惠】Apple/苹果 iPhone 17 官方旗舰店正品5G手机,¥5496.08,券后价,苏宁易购官方旗舰店,回头客40万,4000+人付款,江苏 南京,https://detail.tmall.com/item.htm?id=835715171087&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=00001DxRKprY-9Z8E3KYm2pE-mmY5d0RmTZpWPjS3PgJOk4&skuId=6099167910675,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2616970884/O1CN01TAiPhS1IOvFczNNNH_!!4611686018427383428-2-item_pic.png_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,3692mAh,4800万,512GB,40W,政府补贴15%;  3期; 淘金币已抵2.92元
916073953899,MIUI/小米 Redmi Note 14 Pro 5G手机,¥1307.28,券后价,小米山林奕心专卖店,,200+人付款,上海,https://detail.tmall.com/item.htm?id=916073953899&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000xvnC3pd6zBRVpGy2MWoN_pimruAogBh5b5evK8r9WHQ&skuId=5782003280672,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2218608788268/O1CN01SOupdU2AwnilFxrNH_!!4611686018427380524-0-item_pic.jpg_60x60.jpg,MIUI/小米,,6.67英寸,120Hz,5500mAh,,12GB+256GB,,政府补贴5%;  3期; 淘金币已抵2.92元; 退货宝; 48小时内发
,,¥,,,,,,,,,,,,,,,,
976085496443,iPhone 17 Pro Max 苹果 百亿补贴,¥8609,补贴价,百亿补贴官方精选,回头客100万,,浙江 杭州,https://detail.tmall.com/item.htm?id=976085496443&ns=1&abbucket=9&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=c4f7fc0763cf5e6a4cbb1c0f016b083f0020db59&mi_id=0000YUIYwqDOBVEYj_rDsVp7SIvqBZspwL4f-5kyHRdIwg8&skuId=5928987633360,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2217587502021/O1CN019Xd0Ay1QnfXU1GES3_!!4611686018427382725-2-item_pic.png_60x60.jpg,Apple/苹果,,6.9英寸,120Hz,4823mAh,4800万,,40W,已补2300元
983064773979,MIUI/小米 Xiaomi 15骁龙8至尊版澎湃OS徕卡影像游戏5G手机小米15,¥2028,,品盛数码通讯,,89人付款,广东 潮州,https://item.taobao.com/item.htm?id=983064773979&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000PrLw308yFJn1g2cPDSh4g3Gie5S3GkHU_QtZ2UKpQ3s&skuId=5943600393440,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2162192073/O1CN01o6E34r1RBU8mIAT2F_!!2162192073.jpg_60x60.jpg,MIUI/小米,,6.36英寸,120Hz,5400mAh,,12GB+256GB,,退货宝
1005866866350,现货honor/荣耀 V Purse 荣耀V超长续航折叠正品激活5G全网通手机,¥3134.6,券后价,华正品手机店,8年老店,11人付款,上海,https://item.taobao.com/item.htm?id=1005866866350&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000H7wMEUjGhsCUqc9bf-5NgR-s5rH_3nlh7VnHqyCjrY8&skuId=6167448163286,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2825390755/O1CN0102peZn1HRq8wVrlNU_!!2825390755.png_60x60.jpg,honor/荣耀,,7.71英寸,,4500mAh,,16GB+256GB,,官方立减32元; 退货宝
1029486226915,【新品可叠国补】华为畅享 90 Pro Max 8500mAh华为巨鲸大电池鸿蒙AI流畅丝滑直屏手机华为官方旗舰店,¥1699,,华为官方旗舰店,回头客4万,,广东 东莞,https://detail.tmall.com/item.htm?id=1029486226915&ns=1&abbucket=9&xxc=taobaoSearch&fpChannel=101&fpChannelSig=d58fa35b4654e0e30b3bf592ec2eb0de9f24d9ac&mi_id=0000yd440mxAvb2G3GSU2CAOloaO_3RjCLonZ_LOt3_tFMs&skuId=6044494005881,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2838892713/O1CN015Uwc4Z1VubeyTJTrp_!!4611686018427383977-0-item_pic.jpg_60x60.jpg,Huawei/华为,,6.84英寸,120Hz,8500mAh,5000万,256GB,,退货宝
1019952337273,iPhone 16e 全原装6.1寸直播wifi手机全网通5G双卡iphone16E手机,¥1699.08,券后价,华强数码通讯店铺,,400+人付款,广东 深圳,https://item.taobao.com/item.htm?id=1019952337273&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000jSx6SkMAMTiHXg4Z_KDYBn_wTvFCnnP8pWigrEXYqs4&skuId=6034272733983,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/859687387/O1CN01l0OH0B24RIrU8xmPa_!!859687387.jpg_60x60.jpg,Apple/苹果,,6.1英寸,60Hz,3279mAh,,128GB,20W,官方立减18元; 淘金币已抵2.92元; 退货宝; 48小时内发
1033368581170,Huawei/华为 Mate X7 12GB+512GB,¥13999,,安信数码小店,,4人付款,广东 深圳,https://item.taobao.com/item.htm?id=1033368581170&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=00009cKvBaOUQ_iTRTxqdpl2dLynoQFxQ0eWrutaMi7a2Do&skuId=6212076826210,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2206956397238/O1CN01KLWAfc23L3qvYq5vf_!!2206956397238.jpg_60x60.jpg,Huawei/华为,,8英寸,120Hz,5525mAh,5000万,12GB+512GB,66W,
644097729891,【国家补贴500元】HUAWEI/华为 Pura 90 Pro 超聚光微距长焦 XMAGE智拍 华为手机pura90pro官方旗舰店2127,¥5499,,苏宁易购官方旗舰店,回头客40万,300+人付款,江苏 南京,https://detail.tmall.com/item.htm?id=644097729891&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000KXak-vOPAeqmtM07m0IB1kizwS0trvKrY7AGVz0l7T8&skuId=6063977628456,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2616970884/O1CN01FOKgmn1IOvG1zx1Ya_!!4611686018427383428-0-item_pic.jpg_60x60.jpg,Huawei/华为,,6.6英寸,120Hz,6000mAh,5000万,12GB+512GB,66W,
1037402812320,【新品上市】OPPO A6s Pro IP69K满级防水超级暴雨触控手机政府补贴oppo官方旗舰店oppoa6spro正品手机新款,¥1919.04,券后价,OPPO官方旗舰店,回头客2万,91人付款,广东 东莞,https://detail.tmall.com/item.htm?id=1037402812320&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000p0vv-4gRg3x0mBn2iKm_m1YbVtoBiOcniGqG5eVGs4A&skuId=6226454222462,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/901409638/O1CN01nuMIhm2L4GPyy0539-901409638.jpg_60x60.jpg,OPPO,,6.57英寸,120Hz,7000mAh,,8GB+256GB,,政府补贴4%; 退货宝
974725466459,iPhone 17 Pro 百亿补贴 Apple/苹果,¥7709,补贴价,百亿补贴官方精选,回头客100万,,浙江 杭州,https://detail.tmall.com/item.htm?id=974725466459&ns=1&abbucket=9&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=750b15eedbe9b03ce3b4ed296a26b2be21f5b18c&mi_id=000040bRWNkSlpNABfnKPwWRwyhjY-NMqw_ohHyLkU73M_I&skuId=6093707430911,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN01B3GKyB1QnfXS0QjKf_!!4611686018427382725-2-item_pic.png_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,3988mAh,4800万,,40W,已补1989元
979693062676,小米MIUI/小米 Xiaomi 15 Pro旗舰手机,¥2359,,简三数码,,100+人付款,上海,https://item.taobao.com/item.htm?id=979693062676&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000K9I_kQgCRtLJg53TWBW-x_rYnQvsrt7-REcmB34iDEQ&skuId=6103509839511,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2657743992/O1CN01KGXAX41fMODFLuPuG_!!2657743992.jpg_60x60.jpg,MIUI/小米,,6.73英寸,120Hz,6100mAh,,16GB+1024GB,,
974265091369,【需当面签收激活】iPhone 17 Apple/苹果,¥5079,补贴价,百亿补贴官方精选,回头客100万,,浙江 杭州,https://detail.tmall.com/item.htm?id=974265091369&ns=1&abbucket=9&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=529a4cf26dd0a8d7e51aaafa2ea68498b3ae4180&mi_id=00007gXQkoGR0DkUmv6w_LAWxkrTwWn9_b4_dVJ8pBB8Mbo&skuId=6094693491213,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN01pme3SI1QnfXRrEaCN_!!4611686018427382725-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,3692mAh,4800万,,40W,已补1420元
972636145415,【国家补贴至高立省500元】vivo X300 Pro新品蔡司2亿APO超级长焦天玑9500拍照手机官方旗舰店官网,¥4603,补贴价,百亿补贴品牌优选,回头客1万,,广西 南宁,https://detail.tmall.com/item.htm?id=972636145415&ns=1&abbucket=9&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=c96a009df17708584d67001edffb36ad1fc95f4a&mi_id=0000vxp-t60-gKngEoGCl9ao_S6etvZHPAC854ERRz8wato&skuId=6038799537786&maskChannel=bybtrs,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2207440821122/O1CN01j5Q93h1K9vWMS4ElG_!!2207440821122.png_60x60.jpg,vivo,,6.78英寸,120Hz,6510mAh,,16GB+512GB,,政府补贴10%; 已补596元; 超级爆款; 退货宝
